Id,Frame,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,2607.11579645817,312.12929599811,97.9778976134678,3000,500,8
2,1,2898.53419864198,891.194300374555,97.9778976134678,3000,500,8
3,1,406.357812139219,1750.02086145595,97.9778976134678,3000,500,8
4,1,2922.80273964486,3064.02187338975,97.9778976134678,3000,500,8
5,1,2023.54958792131,3087.64331263769,97.9778976134678,3000,500,8
6,2,752.882934360471,2427.77095456969,97.9778976134678,3000,500,8
7,2,1953.5580902862,978.790763284551,97.9778976134678,3000,500,8
8,2,1906.59339752747,941.407630955708,97.9778976134678,3000,500,8
9,2,1712.06774399561,1659.20889157881,97.9778976134678,3000,500,8
10,2,2086.43671099322,2304.89804546045,97.9778976134678,3000,500,8
11,3,176.289015584031,825.102423024884,97.9778976134678,3000,500,8
12,3,2563.83261682213,492.390208975687,97.9778976134678,3000,500,8
13,3,1519.74761295671,86.7142620999399,97.9778976134678,3000,500,8
14,3,1410.64544445974,753.412708473021,97.9778976134678,3000,500,8
15,3,2956.12482930634,2576.25457437114,97.9778976134678,3000,500,8
16,4,2646.68182278626,2040.35789413127,97.9778976134678,3000,500,8
17,4,2960.17441219259,593.881766824854,97.9778976134678,3000,500,8
18,4,2282.91964071362,3131.51150741665,97.9778976134678,3000,500,8
19,4,1993.3273731669,1455.72659282433,97.9778976134678,3000,500,8
20,4,1900.92525673304,1376.61150152446,97.9778976134678,3000,500,8
21,5,3132.76819662199,1778.34701532857,97.9778976134678,3000,500,8
22,5,1298.41089712842,1177.0473160645,97.9778976134678,3000,500,8
23,5,1665.53100298815,1321.75560897972,97.9778976134678,3000,500,8
24,5,1018.25322316523,1568.36190358116,97.9778976134678,3000,500,8
25,5,3125.88992065403,73.2265027709154,97.9778976134678,3000,500,8
26,6,1077.58091259841,3013.89140653836,97.9778976134678,3000,500,8
27,6,70.7919383159943,2212.40321213085,97.9778976134678,3000,500,8
28,6,721.744657113231,1967.57749453079,97.9778976134678,3000,500,8
29,6,1289.78647254259,552.599707404112,97.9778976134678,3000,500,8
30,6,8.46251783920628,1810.10697585918,97.9778976134678,3000,500,8
31,7,1874.32897137175,481.975966592747,97.9778976134678,3000,500,8
32,7,2426.29354059695,410.033646945931,97.9778976134678,3000,500,8
33,7,422.789710988963,1510.89840018906,97.9778976134678,3000,500,8
34,7,760.768800347942,252.734813012523,97.9778976134678,3000,500,8
35,7,3171.11782120488,771.200125481644,97.9778976134678,3000,500,8
36,8,1509.7425705512,633.707723935741,97.9778976134678,3000,500,8
37,8,1639.70492055724,13.3424445641513,97.9778976134678,3000,500,8
38,8,2577.99408190948,2562.3772632449,97.9778976134678,3000,500,8
39,8,2758.59061401363,656.76984414486,97.9778976134678,3000,500,8
40,8,2619.28096182753,910.209187411255,97.9778976134678,3000,500,8
41,9,1359.08933288437,629.809998363981,97.9778976134678,3000,500,8
42,9,679.140223351124,175.275671330078,97.9778976134678,3000,500,8
43,9,308.153344735897,1666.31771099699,97.9778976134678,3000,500,8
44,9,1843.14571861492,1305.49994445751,97.9778976134678,3000,500,8
45,9,580.237480780004,1461.08902063233,97.9778976134678,3000,500,8
46,10,1758.77293705808,2043.3539648793,97.9778976134678,3000,500,8
47,10,195.042729259972,83.8370093149106,97.9778976134678,3000,500,8
48,10,781.653964210061,604.289703672768,97.9778976134678,3000,500,8
49,10,382.459921077062,2287.65491302577,97.9778976134678,3000,500,8
50,10,978.828854821214,782.933353050881,97.9778976134678,3000,500,8
51,11,2893.17790031118,2802.64142154872,97.9778976134678,3000,500,8
52,11,1082.36576577627,214.441774063066,97.9778976134678,3000,500,8
53,11,2377.96072618082,1621.44900591167,97.9778976134678,3000,500,8
54,11,2142.48408041488,3070.51831940665,97.9778976134678,3000,500,8
55,11,1744.0756929929,350.887082746993,97.9778976134678,3000,500,8
56,12,865.965624611409,1159.42055834017,97.9778976134678,3000,500,8
57,12,415.872798209429,2485.16032888666,97.9778976134678,3000,500,8
58,12,2408.43543630266,2133.66047596224,97.9778976134678,3000,500,8
59,12,15.6428225822687,1033.81905585137,97.9778976134678,3000,500,8
60,12,963.832630832834,1213.6647876637,97.9778976134678,3000,500,8
61,13,2629.16223886791,1942.41174847375,97.9778976134678,3000,500,8
62,13,1885.17275005984,2006.80382373551,97.9778976134678,3000,500,8
63,13,86.5808451320408,1962.84820142353,97.9778976134678,3000,500,8
64,13,2563.23912130437,2503.18841926499,97.9778976134678,3000,500,8
65,13,1391.22401567122,2041.61944820721,97.9778976134678,3000,500,8
66,14,2898.37347162269,1498.44529888123,97.9778976134678,3000,500,8
67,14,1523.66668951232,1365.40579344095,97.9778976134678,3000,500,8
68,14,1391.61734687519,2072.65891078069,97.9778976134678,3000,500,8
69,14,1835.5114260011,2773.55457847554,97.9778976134678,3000,500,8
70,14,1749.07332688594,2276.43386234861,97.9778976134678,3000,500,8
71,15,2885.00694386329,580.653123799216,97.9778976134678,3000,500,8
72,15,303.175814360215,1490.17848028922,97.9778976134678,3000,500,8
73,15,1382.61599100251,777.226637817671,97.9778976134678,3000,500,8
74,15,552.832311513172,2114.70502136427,97.9778976134678,3000,500,8
75,15,682.906034959969,1239.28856803526,97.9778976134678,3000,500,8
76,16,2490.22252213536,1532.06975584703,97.9778976134678,3000,500,8
77,16,2356.87240117805,1656.6093277116,97.9778976134678,3000,500,8
78,16,914.446894711677,535.227760649942,97.9778976134678,3000,500,8
79,16,2164.85881835048,456.458423959888,97.9778976134678,3000,500,8
80,16,1654.01339817059,2857.87542711995,97.9778976134678,3000,500,8
81,17,2542.73870813264,704.368831265056,97.9778976134678,3000,500,8
82,17,1538.5384995987,1992.2793215745,97.9778976134678,3000,500,8
83,17,1005.40561424256,1596.52251738705,97.9778976134678,3000,500,8
84,17,425.839309690661,1434.52205321275,97.9778976134678,3000,500,8
85,17,2772.3709696887,117.290378542621,97.9778976134678,3000,500,8
86,18,1943.39118262142,678.362251535605,97.9778976134678,3000,500,8
87,18,2444.08301574549,2776.12475722169,97.9778976134678,3000,500,8
88,18,1355.41171420912,1541.42474911381,97.9778976134678,3000,500,8
89,18,261.84011477791,2000.1644897002,97.9778976134678,3000,500,8
90,18,692.068684674712,2643.23310965112,97.9778976134678,3000,500,8
91,19,1951.29304346399,1590.06360121883,97.9778976134678,3000,500,8
92,19,2577.10612617588,839.183065664427,97.9778976134678,3000,500,8
93,19,938.072811483605,2414.22170097901,97.9778976134678,3000,500,8
94,19,549.028253722629,940.15181216072,97.9778976134678,3000,500,8
95,19,1429.98033014394,248.294527960691,97.9778976134678,3000,500,8
96,20,2820.6285760274,2654.7586350817,97.9778976134678,3000,500,8
97,20,1056.46905549026,2595.81893986995,97.9778976134678,3000,500,8
98,20,1585.79102892781,2456.80596615711,97.9778976134678,3000,500,8
99,20,219.310568038854,213.014469827698,97.9778976134678,3000,500,8
100,20,604.471652077208,3036.24969484771,97.9778976134678,3000,500,8
101,21,2673.26591693667,1739.57489504436,97.9778976134678,3000,500,8
102,21,2375.02032417316,2611.20220684796,97.9778976134678,3000,500,8
103,21,2416.4068961768,3184.01824957505,97.9778976134678,3000,500,8
104,21,2586.10947354713,2178.46351427772,97.9778976134678,3000,500,8
105,21,1872.12173021344,2452.04763195446,97.9778976134678,3000,500,8
106,22,3018.90768091833,1354.83612581153,97.9778976134678,3000,500,8
107,22,1083.54817569939,349.031443577869,97.9778976134678,3000,500,8
108,22,1643.26402307045,5.21052400713629,97.9778976134678,3000,500,8
109,22,420.205429958483,1947.47782140072,97.9778976134678,3000,500,8
110,22,2087.82206739538,2706.55128614836,97.9778976134678,3000,500,8
111,23,1931.44051743345,2586.69671257751,97.9778976134678,3000,500,8
112,23,1006.11597397924,2995.24038184325,97.9778976134678,3000,500,8
113,23,212.187058416907,1174.76062328931,97.9778976134678,3000,500,8
114,23,3109.16233538667,693.58917897091,97.9778976134678,3000,500,8
115,23,1145.52004368582,2485.91781670886,97.9778976134678,3000,500,8
116,24,692.012122503694,618.606403994524,97.9778976134678,3000,500,8
117,24,1553.15217952795,1180.81393892698,97.9778976134678,3000,500,8
118,24,1304.75060451003,1647.84369040595,97.9778976134678,3000,500,8
119,24,2598.33997593289,2761.2600222425,97.9778976134678,3000,500,8
120,24,1327.84078560826,1653.4672661442,97.9778976134678,3000,500,8
121,25,157.209290263225,1622.62780526487,97.9778976134678,3000,500,8
122,25,1507.77174190279,645.328109303588,97.9778976134678,3000,500,8
123,25,324.035065973134,1375.40739676202,97.9778976134678,3000,500,8
124,25,1548.71001001279,1782.60812054569,97.9778976134678,3000,500,8
125,25,1533.75635694148,1377.04644841274,97.9778976134678,3000,500,8
126,26,2780.0676329224,307.840493947554,97.9778976134678,3000,500,8
127,26,2597.66260817621,1957.61568971848,97.9778976134678,3000,500,8
128,26,2750.80774069396,2867.1914597773,97.9778976134678,3000,500,8
129,26,2030.4644413056,2510.74082321267,97.9778976134678,3000,500,8
130,26,1138.44237299402,2521.55464099427,97.9778976134678,3000,500,8
131,27,3062.43162385118,191.85207790086,97.9778976134678,3000,500,8
132,27,2457.65029371427,2025.7823984513,97.9778976134678,3000,500,8
133,27,433.640323714708,2217.93794536358,97.9778976134678,3000,500,8
134,27,2485.92298490642,1811.97054392587,97.9778976134678,3000,500,8
135,27,1677.69379958331,2698.25098748537,97.9778976134678,3000,500,8
136,28,1248.01528119983,2030.1578575958,97.9778976134678,3000,500,8
137,28,1162.38157212181,280.722214040857,97.9778976134678,3000,500,8
138,28,109.515176378232,1193.78551058334,97.9778976134678,3000,500,8
139,28,2772.19121273838,3153.36438527342,97.9778976134678,3000,500,8
140,28,2284.05727024656,26.6093465943001,97.9778976134678,3000,500,8
141,29,2464.38362124835,2397.1708687805,97.9778976134678,3000,500,8
142,29,1308.75866634975,1372.30854137616,97.9778976134678,3000,500,8
143,29,1367.2387829845,2414.40130173253,97.9778976134678,3000,500,8
144,29,1643.14725465109,11.7004593404825,97.9778976134678,3000,500,8
145,29,2712.03784768555,1712.15556967765,97.9778976134678,3000,500,8
146,30,2172.07716383072,1276.27456994686,97.9778976134678,3000,500,8
147,30,1492.72115775461,2056.83882122181,97.9778976134678,3000,500,8
148,30,751.936563600496,2955.10199407802,97.9778976134678,3000,500,8
149,30,2140.06929597661,39.3144366312825,97.9778976134678,3000,500,8
150,30,2834.9016620873,3130.16404991732,97.9778976134678,3000,500,8
151,31,2079.2106946315,3180.1329017287,97.9778976134678,3000,500,8
152,31,1534.53466509693,404.505158623612,97.9778976134678,3000,500,8
153,31,509.87300562491,1811.3695689312,97.9778976134678,3000,500,8
154,31,2102.57501749383,2164.33287637411,97.9778976134678,3000,500,8
155,31,1192.94183978021,2073.32772754301,97.9778976134678,3000,500,8
156,32,134.679425607865,1412.26310730641,97.9778976134678,3000,500,8
157,32,1605.68992185908,2663.42927786772,97.9778976134678,3000,500,8
158,32,861.838695034877,1789.10293210389,97.9778976134678,3000,500,8
159,32,1698.52560217094,1668.19019929339,97.9778976134678,3000,500,8
160,32,1562.06375380418,248.174413343231,97.9778976134678,3000,500,8
161,33,2445.3405592621,2726.29109963341,97.9778976134678,3000,500,8
162,33,720.750170837642,714.180145755505,97.9778976134678,3000,500,8
163,33,893.635632012869,653.226813502494,97.9778976134678,3000,500,8
164,33,1145.89693331591,2313.4255750823,97.9778976134678,3000,500,8
165,33,2041.19612957347,3134.3493608139,97.9778976134678,3000,500,8
166,34,2066.60924021885,2331.24021145451,97.9778976134678,3000,500,8
167,34,1222.40154711792,2985.03952234116,97.9778976134678,3000,500,8
168,34,3088.67211428398,1169.24276030159,97.9778976134678,3000,500,8
169,34,2743.42029367505,1897.20937818809,97.9778976134678,3000,500,8
170,34,691.061552042971,1047.75043919167,97.9778976134678,3000,500,8
171,35,2976.28374692646,1385.07076690213,97.9778976134678,3000,500,8
172,35,466.074516030897,298.610550719968,97.9778976134678,3000,500,8
173,35,2821.55310908398,2523.07823845952,97.9778976134678,3000,500,8
174,35,883.025035083749,2508.11950104601,97.9778976134678,3000,500,8
175,35,666.567042894508,1736.21081080441,97.9778976134678,3000,500,8
176,36,1026.77002379286,2378.65863943175,97.9778976134678,3000,500,8
177,36,438.199093704051,2268.05572846839,97.9778976134678,3000,500,8
