No,Frame,Emitter,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,24,1565.3780445237,2451.61319460832,97.9778976134678,3000,500,8
2,1,88,2451.82313603088,1967.65531103313,97.9778976134678,3000,500,8
3,1,91,2396.6443149385,1214.08387898278,97.9778976134678,3000,500,8
4,1,127,2207.8128964147,163.457504850956,97.9778976134678,3000,500,8
5,1,140,1088.72887659392,3049.31124707779,97.9778976134678,3000,500,8
6,1,195,208.533696056304,1442.67325161008,97.9778976134678,3000,500,8
7,1,281,1252.30255867376,682.9967668684,97.9778976134678,3000,500,8
8,1,296,2494.09332901876,1466.74592575638,97.9778976134678,3000,500,8
9,1,377,497.311616674247,1633.34318041435,97.9778976134678,3000,500,8
10,1,383,2678.97612824197,2254.7291115909,97.9778976134678,3000,500,8
11,1,393,956.829794616517,2840.11900072956,97.9778976134678,3000,500,8
12,2,4,290.990111220279,1358.39639783323,97.9778976134678,3000,500,8
13,2,24,1565.3780445237,2451.61319460832,97.9778976134678,3000,500,8
14,2,53,1157.65348171091,1254.61569927816,97.9778976134678,3000,500,8
15,2,127,2207.8128964147,163.457504850956,97.9778976134678,3000,500,8
16,2,135,2920.85017585544,2379.83868741269,97.9778976134678,3000,500,8
17,2,140,1088.72887659392,3049.31124707779,97.9778976134678,3000,500,8
18,2,184,830.669822177115,755.096683518759,97.9778976134678,3000,500,8
19,2,195,208.533696056304,1442.67325161008,97.9778976134678,3000,500,8
20,2,281,1252.30255867376,682.9967668684,97.9778976134678,3000,500,8
21,2,296,2494.09332901876,1466.74592575638,97.9778976134678,3000,500,8
22,2,361,1568.13833904907,1850.16723455991,97.9778976134678,3000,500,8
23,2,377,497.311616674247,1633.34318041435,97.9778976134678,3000,500,8
24,2,383,2678.97612824197,2254.7291115909,97.9778976134678,3000,500,8
25,2,432,104.767456963907,986.608505639955,97.9778976134678,3000,500,8
26,3,53,1157.65348171091,1254.61569927816,97.9778976134678,3000,500,8
27,3,97,682.904653890893,11.0977955893638,97.9778976134678,3000,500,8
28,3,127,2207.8128964147,163.457504850956,97.9778976134678,3000,500,8
29,3,140,1088.72887659392,3049.31124707779,97.9778976134678,3000,500,8
30,3,184,830.669822177115,755.096683518759,97.9778976134678,3000,500,8
31,3,195,208.533696056304,1442.67325161008,97.9778976134678,3000,500,8
32,3,235,2119.09398246142,1006.99428377489,97.9778976134678,3000,500,8
