No,Frame,Emitter,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,1,2298.16401100133,2463.83356777991,97.9778976134678,3000,500,8
2,1,17,1469.47359892992,2595.90477462668,97.9778976134678,3000,500,8
3,1,21,2305.69541543565,2099.57401722766,97.9778976134678,3000,500,8
4,1,63,1406.56009865249,2768.60710388218,97.9778976134678,3000,500,8
5,1,76,3111.74604496372,1962.89780452709,97.9778976134678,3000,500,8
6,1,91,2721.48759138428,1862.91392537049,97.9778976134678,3000,500,8
7,1,97,743.390614894018,661.806388774428,97.9778976134678,3000,500,8
8,1,99,464.804597744824,43.4756765555814,97.9778976134678,3000,500,8
9,1,115,3136.19112008663,1608.26022695234,97.9778976134678,3000,500,8
10,1,125,2938.07577959615,1630.29096444571,97.9778976134678,3000,500,8
11,1,137,1991.08608793552,1673.22961973974,97.9778976134678,3000,500,8
12,1,150,2969.77454043531,785.184728158851,97.9778976134678,3000,500,8
13,1,153,3087.1698042164,341.978366341749,97.9778976134678,3000,500,8
14,1,160,1573.16458463726,678.81813599137,97.9778976134678,3000,500,8
15,1,167,1296.75589878272,1074.69704483966,97.9778976134678,3000,500,8
16,1,175,755.019957135827,708.521311323876,97.9778976134678,3000,500,8
17,1,180,1647.96156911679,2587.52377179803,97.9778976134678,3000,500,8
18,1,182,2261.18671703912,1306.00667740077,97.9778976134678,3000,500,8
19,1,195,1530.51599829018,1260.34875592945,97.9778976134678,3000,500,8
20,1,199,174.841306048583,722.326153496269,97.9778976134678,3000,500,8
21,1,211,2147.40981861038,1597.30523995951,97.9778976134678,3000,500,8
22,1,223,2741.55709484701,2717.56670878385,97.9778976134678,3000,500,8
23,1,231,2443.96523247921,599.154377712679,97.9778976134678,3000,500,8
24,1,236,959.209413973456,2673.13260395094,97.9778976134678,3000,500,8
25,1,250,1472.41944796261,850.004349450726,97.9778976134678,3000,500,8
26,1,252,2159.25209389184,1431.6064576347,97.9778976134678,3000,500,8
27,1,254,1052.94722242545,1830.32693539362,97.9778976134678,3000,500,8
28,1,259,1538.56485434747,2823.65455372849,97.9778976134678,3000,500,8
29,1,277,137.743537123713,1438.89626496618,97.9778976134678,3000,500,8
30,1,281,2519.30358921787,3009.08801528814,97.9778976134678,3000,500,8
31,1,287,1019.23884968764,2094.97685080079,97.9778976134678,3000,500,8
32,1,289,598.269256875051,1153.00810961567,97.9778976134678,3000,500,8
33,1,303,658.578880230146,2306.52153609472,97.9778976134678,3000,500,8
34,1,309,1697.26846396243,286.869107402478,97.9778976134678,3000,500,8
35,1,310,2546.1439484811,1990.42958641888,97.9778976134678,3000,500,8
36,1,315,1556.02618471936,2700.58349194594,97.9778976134678,3000,500,8
37,1,336,2730.46633512042,2650.49550348261,97.9778976134678,3000,500,8
38,1,355,2428.82015371632,1772.79171865536,97.9778976134678,3000,500,8
39,1,435,449.194394648942,2064.25317458028,97.9778976134678,3000,500,8
40,1,438,1517.07369140175,1967.0942192431,97.9778976134678,3000,500,8
41,1,439,1808.34444495808,1823.66401862006,97.9778976134678,3000,500,8
42,1,440,2830.20235238658,1806.33787618449,97.9778976134678,3000,500,8
43,1,470,1186.96303827205,2212.93901311238,97.9778976134678,3000,500,8
44,1,475,684.130128028842,2553.89184955806,97.9778976134678,3000,500,8
45,1,518,2789.78266149268,1182.59999286036,97.9778976134678,3000,500,8
46,1,554,1498.96151005906,739.763311445163,97.9778976134678,3000,500,8
47,1,559,2395.9212278574,1548.70766584686,97.9778976134678,3000,500,8
48,1,588,1084.69590380537,2437.47430713926,97.9778976134678,3000,500,8
49,1,594,3070.16528376279,2842.18951734547,97.9778976134678,3000,500,8
50,1,614,1516.29144494921,935.950206499052,97.9778976134678,3000,500,8
51,1,625,2395.26298108988,3064.51249237655,97.9778976134678,3000,500,8
52,1,630,3095.42128963052,1161.77386742914,97.9778976134678,3000,500,8
53,1,636,1170.21538701237,1287.09601988282,97.9778976134678,3000,500,8
54,1,645,1669.10636401147,161.271378232519,97.9778976134678,3000,500,8
55,1,724,2303.63646375233,1607.13560523082,97.9778976134678,3000,500,8
56,1,726,276.308065530378,2595.10774047611,97.9778976134678,3000,500,8
57,1,729,3022.3415812042,1577.09865265914,97.9778976134678,3000,500,8
58,1,736,1359.93203159352,384.484415563338,97.9778976134678,3000,500,8
59,1,738,903.488022958346,3093.74064986578,97.9778976134678,3000,500,8
60,1,743,1097.88259380129,396.592209104382,97.9778976134678,3000,500,8
61,1,746,648.524502709483,2527.95628289381,97.9778976134678,3000,500,8
62,2,17,1469.47359892992,2595.90477462668,97.9778976134678,3000,500,8
63,2,21,2305.69541543565,2099.57401722766,97.9778976134678,3000,500,8
