Id,Frame,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,2607.11579645817,312.12929599811,108.805981271309,3000,500,8
2,1,2898.53419864198,891.194300374555,108.805981271309,3000,500,8
3,1,406.357812139219,1750.02086145595,108.805981271309,3000,500,8
4,1,2922.80273964486,3064.02187338975,108.805981271309,3000,500,8
5,1,2023.54958792131,3087.64331263769,108.805981271309,3000,500,8
6,2,3003.91206027763,350.374013541046,108.805981271309,3000,500,8
7,2,249.882768582885,1725.03931393732,108.805981271309,3000,500,8
8,2,3040.86583710358,811.196186168756,108.805981271309,3000,500,8
9,2,774.767337216863,2673.4991083486,108.805981271309,3000,500,8
10,2,695.111355290803,315.211729647214,108.805981271309,3000,500,8
11,3,1040.60119694284,318.171781129908,108.805981271309,3000,500,8
12,3,2343.76506709615,578.638196779818,108.805981271309,3000,500,8
13,3,966.928347122465,2683.98830673281,108.805981271309,3000,500,8
14,3,675.645374843878,1081.91707468451,108.805981271309,3000,500,8
15,3,483.385160749175,2404.35152723614,108.805981271309,3000,500,8
16,4,2765.17430502801,541.534283733634,108.805981271309,3000,500,8
17,4,1142.89378157772,2033.69251119489,108.805981271309,3000,500,8
18,4,1125.07168731963,1263.1415622226,108.805981271309,3000,500,8
19,4,1817.25254500228,1352.2657525924,108.805981271309,3000,500,8
20,4,2722.84510308784,2646.68182278626,108.805981271309,3000,500,8
21,5,1537.75138023638,1300.37060675204,108.805981271309,3000,500,8
22,5,3101.55479428682,3096.34804728106,108.805981271309,3000,500,8
23,5,2470.42683526555,2856.53030194337,108.805981271309,3000,500,8
24,5,1747.56873704007,1233.31005214626,108.805981271309,3000,500,8
25,5,74.338972825311,586.90579813039,108.805981271309,3000,500,8
26,6,2916.88511251999,2175.63475406675,108.805981271309,3000,500,8
27,6,270.808654548769,2981.98073851625,108.805981271309,3000,500,8
28,6,2374.5999361528,1223.61119031821,108.805981271309,3000,500,8
29,6,2822.21645192617,1328.97451091702,108.805981271309,3000,500,8
30,6,1400.84865130941,2216.28569215467,108.805981271309,3000,500,8
31,7,1327.94348980875,2571.72358448917,108.805981271309,3000,500,8
32,7,210.187525223551,1431.65459661575,108.805981271309,3000,500,8
33,7,132.40167861109,1200.30806250229,108.805981271309,3000,500,8
34,7,1388.38816935654,616.756121138166,108.805981271309,3000,500,8
35,7,150.179027607184,62.3788388486012,108.805981271309,3000,500,8
36,8,2154.50919699866,2209.67607697506,108.805981271309,3000,500,8
37,8,2996.34278802794,650.231495268707,108.805981271309,3000,500,8
38,8,2119.25438152963,1649.30401670337,108.805981271309,3000,500,8
39,8,1220.31443718691,1733.88566041768,108.805981271309,3000,500,8
40,8,1239.48727915816,1481.02125937555,108.805981271309,3000,500,8
41,9,2056.03004713355,846.401850722643,108.805981271309,3000,500,8
42,9,2.96665963211211,294.561993396556,108.805981271309,3000,500,8
43,9,1053.7701375474,117.425403532519,108.805981271309,3000,500,8
44,9,1059.27378818907,2500.59917804508,108.805981271309,3000,500,8
45,9,167.933891915513,120.639919110215,108.805981271309,3000,500,8
46,10,2445.65218885393,3042.09517270804,108.805981271309,3000,500,8
47,10,2528.5934112596,734.617188224551,108.805981271309,3000,500,8
48,10,1995.35450985569,1443.79110276271,108.805981271309,3000,500,8
49,10,2550.19673150871,1299.34080326684,108.805981271309,3000,500,8
50,10,2444.18498215762,552.138859985659,108.805981271309,3000,500,8
51,11,51.6430249727371,336.884578704908,108.805981271309,3000,500,8
52,11,3003.0783849984,1993.35124136407,108.805981271309,3000,500,8
53,11,68.0118394021701,1641.19109815914,108.805981271309,3000,500,8
54,11,511.981818670908,3083.87036151285,108.805981271309,3000,500,8
55,11,1595.11815595632,886.17018571357,108.805981271309,3000,500,8
56,12,108.135199657504,584.073556165887,108.805981271309,3000,500,8
57,12,2458.35471888767,264.590673260478,108.805981271309,3000,500,8
58,12,2569.26065870831,2609.31293471043,108.805981271309,3000,500,8
59,12,993.20701548154,179.821805249532,108.805981271309,3000,500,8
60,12,652.262445790235,2370.08423549222,108.805981271309,3000,500,8
61,13,1692.69886465597,1912.89125096175,108.805981271309,3000,500,8
62,13,73.0591412896032,259.924545197128,108.805981271309,3000,500,8
63,13,2093.17906913048,2283.20780785081,108.805981271309,3000,500,8
64,13,1591.72276744481,1147.08101127308,108.805981271309,3000,500,8
65,13,2706.02191354286,885.297944408281,108.805981271309,3000,500,8
66,14,1377.53233396228,2743.01044317902,108.805981271309,3000,500,8
67,14,3081.70496534366,792.461450650694,108.805981271309,3000,500,8
68,14,2916.3249188673,49.7499765127383,108.805981271309,3000,500,8
69,14,1193.95619546296,1771.44565909851,108.805981271309,3000,500,8
70,14,2116.11081484532,2940.97435301292,108.805981271309,3000,500,8
71,15,661.604947893446,622.074271502451,108.805981271309,3000,500,8
72,15,2174.3674013358,1426.23940907308,108.805981271309,3000,500,8
73,15,716.433927213103,1772.68063807714,108.805981271309,3000,500,8
74,15,3073.59114225099,456.309330223727,108.805981271309,3000,500,8
75,15,1668.5660865373,807.214049381656,108.805981271309,3000,500,8
76,16,1596.25098917003,2085.56294803929,108.805981271309,3000,500,8
77,16,1020.22495149392,771.802896155251,108.805981271309,3000,500,8
78,16,1702.76243995356,529.576960778414,108.805981271309,3000,500,8
79,16,848.447728644925,412.106063896432,108.805981271309,3000,500,8
80,16,1632.13301802103,1458.04964467478,108.805981271309,3000,500,8
81,17,2045.76079796756,3159.15705687531,108.805981271309,3000,500,8
82,17,1094.30735358503,631.505275137826,108.805981271309,3000,500,8
83,17,3199.66292779487,1852.24421377054,108.805981271309,3000,500,8
84,17,603.539455346727,2010.21128925847,108.805981271309,3000,500,8
85,17,951.932718566052,2192.38953163241,108.805981271309,3000,500,8
86,18,3014.15432612886,1883.6246466599,108.805981271309,3000,500,8
87,18,788.493093812247,1207.40908826416,108.805981271309,3000,500,8
88,18,1859.85398008606,1572.25143624117,108.805981271309,3000,500,8
89,18,635.402031876522,1158.96110371044,108.805981271309,3000,500,8
90,18,648.340596645652,2034.29904613024,108.805981271309,3000,500,8
91,19,3122.3085496834,1470.63641012738,108.805981271309,3000,500,8
92,19,1119.35365069302,1598.3486777118,108.805981271309,3000,500,8
93,19,1143.26444757323,2525.20149007905,108.805981271309,3000,500,8
94,19,2682.6721599804,1796.37355543016,108.805981271309,3000,500,8
95,19,3114.49616053533,1057.44202517847,108.805981271309,3000,500,8
96,20,1853.60577208057,960.088413745927,108.805981271309,3000,500,8
97,20,142.548427392446,803.429003845902,108.805981271309,3000,500,8
98,20,3168.58684079247,1311.17763103549,108.805981271309,3000,500,8
99,20,2171.76406756106,313.90348075549,108.805981271309,3000,500,8
100,20,230.780405935366,1588.71920560057,108.805981271309,3000,500,8
101,21,133.838198447289,2791.79772592002,108.805981271309,3000,500,8
102,21,1452.75947920749,1791.8282266592,108.805981271309,3000,500,8
103,21,2592.03718613322,2116.41297775072,108.805981271309,3000,500,8
104,21,2285.03724573002,2189.29673370569,108.805981271309,3000,500,8
105,21,1179.10126371911,1706.4237067608,108.805981271309,3000,500,8
106,22,2299.36490965476,2945.22907717646,108.805981271309,3000,500,8
107,22,1222.63870651969,367.814539609531,108.805981271309,3000,500,8
108,22,1040.04941252198,451.133450522878,108.805981271309,3000,500,8
109,22,641.220694228345,1454.02366780931,108.805981271309,3000,500,8
110,22,1121.48478761911,1705.42298846037,108.805981271309,3000,500,8
111,23,1525.41429249297,145.9131153961,108.805981271309,3000,500,8
112,23,806.43543890986,1360.5072986844,108.805981271309,3000,500,8
113,23,3199.11698519171,2494.44524707025,108.805981271309,3000,500,8
114,23,1887.38723772206,232.643636596626,108.805981271309,3000,500,8
115,23,1185.92055943807,2790.3370143983,108.805981271309,3000,500,8
116,24,957.63144323089,2994.59730319133,108.805981271309,3000,500,8
117,24,1942.66949001074,1154.08468426074,108.805981271309,3000,500,8
118,24,896.474063986376,820.915894210437,108.805981271309,3000,500,8
119,24,2469.02974358564,900.617440229965,108.805981271309,3000,500,8
120,24,1754.07711649869,1354.30547926769,108.805981271309,3000,500,8
121,25,755.605102683473,689.782346566227,108.805981271309,3000,500,8
122,25,1647.92980624521,458.056787119449,108.805981271309,3000,500,8
123,25,2967.29236125886,1650.74205297095,108.805981271309,3000,500,8
124,25,71.130672606839,368.852139006196,108.805981271309,3000,500,8
125,25,2048.8416530148,1361.35651300135,108.805981271309,3000,500,8
126,26,2868.13812981923,2102.52963573687,108.805981271309,3000,500,8
127,26,68.5044813123461,1557.71424293434,108.805981271309,3000,500,8
128,26,1669.59007928427,3170.48242899922,108.805981271309,3000,500,8
129,26,663.953763273643,1569.35373085028,108.805981271309,3000,500,8
130,26,2938.50621672034,2451.31753048591,108.805981271309,3000,500,8
131,27,2647.46978568258,2296.22306767059,108.805981271309,3000,500,8
132,27,306.354304896452,154.489093073806,108.805981271309,3000,500,8
133,27,778.469001390918,1964.48114005555,108.805981271309,3000,500,8
134,27,874.523653952668,863.79832969754,108.805981271309,3000,500,8
135,27,1482.03745651103,2971.17832596916,108.805981271309,3000,500,8
136,28,3170.38992388986,988.344777082265,108.805981271309,3000,500,8
137,28,2725.21011976311,2028.74098745387,108.805981271309,3000,500,8
138,28,30.7143710005413,3099.12537231511,108.805981271309,3000,500,8
139,28,839.477609104824,2662.95963220842,108.805981271309,3000,500,8
140,28,146.012894002278,34.9740191351543,108.805981271309,3000,500,8
141,29,2485.09744691731,24.0277564305941,108.805981271309,3000,500,8
142,29,781.38324913032,1901.66602037451,108.805981271309,3000,500,8
143,29,2510.17212265188,2619.40398810786,108.805981271309,3000,500,8
144,29,1609.35877652449,2423.95041469941,108.805981271309,3000,500,8
145,29,354.626063398941,2773.98905546569,108.805981271309,3000,500,8
146,30,1426.0784706619,1684.61731403006,108.805981271309,3000,500,8
147,30,2044.16413009894,591.864482557046,108.805981271309,3000,500,8
148,30,2425.64733368644,351.64655220138,108.805981271309,3000,500,8
149,30,520.313719951984,2663.37055369495,108.805981271309,3000,500,8
