Id,Frame,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,3094.49548484377,1270.08000928554,108.805981271309,3000,500,8
2,1,1751.14319736231,1996.53156335431,108.805981271309,3000,500,8
3,1,3112.58995188763,2455.6958946884,108.805981271309,3000,500,8
4,1,2287.41117975797,572.716512131619,108.805981271309,3000,500,8
5,1,2232.73223871127,1201.84245948014,108.805981271309,3000,500,8
6,1,691.486385857204,1608.10578984619,108.805981271309,3000,500,8
7,1,3124.07825528397,2197.33465573231,108.805981271309,3000,500,8
8,1,19.9368166546876,811.774875716426,108.805981271309,3000,500,8
9,1,809.543559627021,1775.17076141619,108.805981271309,3000,500,8
10,1,1391.33290369423,1999.77870100511,108.805981271309,3000,500,8
11,1,2494.02534974001,2865.60373137967,108.805981271309,3000,500,8
12,1,632.59223872081,1161.131482986,108.805981271309,3000,500,8
13,1,2761.57835391751,2040.18263365996,108.805981271309,3000,500,8
14,1,3146.882166961,612.628486780683,108.805981271309,3000,500,8
15,1,524.295172495036,1592.94116677538,108.805981271309,3000,500,8
16,1,1911.46862058515,583.825294627862,108.805981271309,3000,500,8
17,1,28.7555125361759,2938.82572524724,108.805981271309,3000,500,8
18,1,1237.02810445961,1381.83062829193,108.805981271309,3000,500,8
19,1,141.312185380799,2656.60192671471,108.805981271309,3000,500,8
20,1,3061.28949668555,1333.68417497076,108.805981271309,3000,500,8
21,1,1395.66927001535,2894.93628397877,108.805981271309,3000,500,8
22,1,3036.727381701,1295.4406953949,108.805981271309,3000,500,8
23,1,2516.17915499219,1059.75840989159,108.805981271309,3000,500,8
24,1,2772.12575546143,1830.8440648728,108.805981271309,3000,500,8
25,1,554.129348787034,2705.41967710116,108.805981271309,3000,500,8
26,1,239.835478441942,2755.24579760983,108.805981271309,3000,500,8
27,1,1922.37670840886,1906.20197461867,108.805981271309,3000,500,8
28,1,537.510987898892,270.917155265313,108.805981271309,3000,500,8
29,1,2346.81653603382,1911.25314342136,108.805981271309,3000,500,8
30,1,1307.02035248645,785.451867465927,108.805981271309,3000,500,8
31,1,1689.30823493735,2344.2990354879,108.805981271309,3000,500,8
32,1,3000.22906864301,2862.88413541356,108.805981271309,3000,500,8
33,1,1669.42759182387,1647.14870692206,108.805981271309,3000,500,8
34,1,346.218825239138,1931.40323315266,108.805981271309,3000,500,8
35,1,506.314902991358,208.216999624983,108.805981271309,3000,500,8
36,1,1744.64848545028,1728.23913485698,108.805981271309,3000,500,8
37,1,1678.09305621911,413.397707745401,108.805981271309,3000,500,8
38,1,2040.35278120318,1966.60110832106,108.805981271309,3000,500,8
39,1,1284.78541948887,1163.68111054348,108.805981271309,3000,500,8
40,1,2079.3763488619,2456.82570985839,108.805981271309,3000,500,8
41,2,2998.24033121627,1997.04652180729,108.805981271309,3000,500,8
42,2,1850.83752448732,467.716169050314,108.805981271309,3000,500,8
43,2,37.2853406258933,394.689739510521,108.805981271309,3000,500,8
44,2,87.01313614532,1676.68925886961,108.805981271309,3000,500,8
45,2,3175.90136460691,593.818666551496,108.805981271309,3000,500,8
46,2,275.163491217468,303.454700578309,108.805981271309,3000,500,8
47,2,522.823347441208,2510.92209609203,108.805981271309,3000,500,8
48,2,1299.83410169677,2818.68931400256,108.805981271309,3000,500,8
49,2,851.603924313921,533.759462136352,108.805981271309,3000,500,8
50,2,1225.40221472486,1528.42553312058,108.805981271309,3000,500,8
51,2,1510.42927511051,1101.45416981759,108.805981271309,3000,500,8
52,2,1462.23209148709,2836.98129160411,108.805981271309,3000,500,8
53,2,65.8401522753945,839.40712032261,108.805981271309,3000,500,8
54,2,3138.95636091284,2718.60433312557,108.805981271309,3000,500,8
55,2,2965.22532747546,382.330481985823,108.805981271309,3000,500,8
56,2,1244.13449209122,2787.23393943801,108.805981271309,3000,500,8
57,2,1589.8882485247,597.228564114814,108.805981271309,3000,500,8
58,2,205.370511684768,2039.21796912155,108.805981271309,3000,500,8
59,2,48.694795522707,3160.60577869705,108.805981271309,3000,500,8
60,2,920.232029757182,695.786777007076,108.805981271309,3000,500,8
61,2,30.3796500071886,3066.96599089875,108.805981271309,3000,500,8
62,2,1062.89041172053,768.393389865678,108.805981271309,3000,500,8
63,2,1874.28302669241,941.58068108189,108.805981271309,3000,500,8
64,2,2958.34948509028,2501.83731117433,108.805981271309,3000,500,8
65,2,2584.37338780825,2579.72577034414,108.805981271309,3000,500,8
66,2,104.496017790975,3040.14551937845,108.805981271309,3000,500,8
67,2,2732.19092379505,1328.57435640658,108.805981271309,3000,500,8
68,2,31.9828489253553,2454.14199896594,108.805981271309,3000,500,8
69,2,1964.71796733989,1793.44758154733,108.805981271309,3000,500,8
70,2,1030.33687713166,692.432750128459,108.805981271309,3000,500,8
71,2,947.080993431812,3067.21931763124,108.805981271309,3000,500,8
72,2,1387.5404603835,647.467335779899,108.805981271309,3000,500,8
73,2,3099.70831939977,657.867428806951,108.805981271309,3000,500,8
74,2,682.536365927929,2332.55765686999,108.805981271309,3000,500,8
75,2,417.057461179549,412.610802731578,108.805981271309,3000,500,8
