No,Frame,Emitter,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,21,2776.12246951552,2125.97211418159,108.805981271309,3000,500,8
2,1,99,2511.54739183963,2538.73298793564,108.805981271309,3000,500,8
3,1,122,2346.46018015399,1831.62785539303,108.805981271309,3000,500,8
4,1,133,872.100621524484,501.239930272056,108.805981271309,3000,500,8
5,1,208,574.619302480086,1813.85445227493,108.805981271309,3000,500,8
6,1,213,2916.00361438819,354.138348182911,108.805981271309,3000,500,8
7,1,224,2855.70791471251,290.011519032552,108.805981271309,3000,500,8
8,1,328,403.715035104785,1254.19750843694,108.805981271309,3000,500,8
9,1,400,3013.42115189516,1426.4551658596,108.805981271309,3000,500,8
10,1,477,2597.38993419579,1188.81103412134,108.805981271309,3000,500,8
11,2,7,2064.9722200339,2834.70165191679,108.805981271309,3000,500,8
12,2,92,1067.81526954019,1210.82308703134,108.805981271309,3000,500,8
13,2,99,2511.54739183963,2538.73298793564,108.805981271309,3000,500,8
14,2,133,872.100621524484,501.239930272056,108.805981271309,3000,500,8
15,2,201,1354.12265213977,1074.96029332731,108.805981271309,3000,500,8
16,2,208,574.619302480086,1813.85445227493,108.805981271309,3000,500,8
17,2,224,2855.70791471251,290.011519032552,108.805981271309,3000,500,8
18,2,249,2238.08364928458,2546.33527984936,108.805981271309,3000,500,8
19,2,275,1395.00936543519,91.4755918781502,108.805981271309,3000,500,8
20,2,328,403.715035104785,1254.19750843694,108.805981271309,3000,500,8
21,2,469,1957.48448113872,2310.37613860642,108.805981271309,3000,500,8
22,2,473,556.670556665403,1742.05915177273,108.805981271309,3000,500,8
23,3,208,574.619302480086,1813.85445227493,108.805981271309,3000,500,8
24,3,224,2855.70791471251,290.011519032552,108.805981271309,3000,500,8
25,3,249,2238.08364928458,2546.33527984936,108.805981271309,3000,500,8
26,3,291,2129.53178913727,2552.57008219795,108.805981271309,3000,500,8
27,3,306,1275.23360755207,2691.26336017329,108.805981271309,3000,500,8
28,3,333,845.675451679619,162.858982481685,108.805981271309,3000,500,8
29,3,377,288.784495389575,2674.62454817052,108.805981271309,3000,500,8
30,3,435,1648.69315101686,2387.81230228855,108.805981271309,3000,500,8
31,3,469,1957.48448113872,2310.37613860642,108.805981271309,3000,500,8
32,3,482,333.165934282013,1568.49483684641,108.805981271309,3000,500,8
33,4,34,1041.40213027875,2031.71556968484,108.805981271309,3000,500,8
34,4,96,993.497120849697,1497.0489440782,108.805981271309,3000,500,8
35,4,128,462.361448371919,2974.67685391274,108.805981271309,3000,500,8
36,4,140,204.923850960452,1609.71744858811,108.805981271309,3000,500,8
37,4,142,1226.97761845803,1314.51218814251,108.805981271309,3000,500,8
38,4,233,1801.81519195443,2057.50550394967,108.805981271309,3000,500,8
39,4,249,2238.08364928458,2546.33527984936,108.805981271309,3000,500,8
40,4,291,2129.53178913727,2552.57008219795,108.805981271309,3000,500,8
41,4,306,1275.23360755207,2691.26336017329,108.805981271309,3000,500,8
42,4,365,188.976193159477,2404.04168431889,108.805981271309,3000,500,8
43,4,377,288.784495389575,2674.62454817052,108.805981271309,3000,500,8
44,4,431,2058.09621795473,841.301098706177,108.805981271309,3000,500,8
45,4,435,1648.69315101686,2387.81230228855,108.805981271309,3000,500,8
46,4,465,893.999867832597,892.145283075905,108.805981271309,3000,500,8
47,4,469,1957.48448113872,2310.37613860642,108.805981271309,3000,500,8
48,4,482,333.165934282013,1568.49483684641,108.805981271309,3000,500,8
49,5,96,993.497120849697,1497.0489440782,108.805981271309,3000,500,8
50,5,219,2.09978601991629,1116.01984155593,108.805981271309,3000,500,8
51,5,306,1275.23360755207,2691.26336017329,108.805981271309,3000,500,8
52,5,362,2067.78788332585,1631.57996974879,108.805981271309,3000,500,8
53,5,365,188.976193159477,2404.04168431889,108.805981271309,3000,500,8
54,5,400,3013.42115189516,1426.4551658596,108.805981271309,3000,500,8
55,5,435,1648.69315101686,2387.81230228855,108.805981271309,3000,500,8
56,6,35,1672.20298716727,2327.29433618056,108.805981271309,3000,500,8
57,6,96,993.497120849697,1497.0489440782,108.805981271309,3000,500,8
58,6,127,2483.62197117828,584.821919401649,108.805981271309,3000,500,8
59,6,130,1199.89114234359,540.293371956554,108.805981271309,3000,500,8
60,6,148,34.1824157522673,2480.25983599207,108.805981271309,3000,500,8
61,6,169,2652.85550653216,143.901796596722,108.805981271309,3000,500,8
62,6,196,1449.5712425682,2555.73726291917,108.805981271309,3000,500,8
