No,Frame,Emitter,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,9,877.638087272831,2543.63878897771,108.805981271309,3000,500,8
2,1,13,1236.55247403361,119.689473363471,108.805981271309,3000,500,8
3,1,14,1068.3823397814,1961.94178171951,108.805981271309,3000,500,8
4,1,44,1065.34512398167,863.416316886538,108.805981271309,3000,500,8
5,1,69,1848.41578654703,289.62259843951,108.805981271309,3000,500,8
6,1,124,2333.8770490131,2456.08203847151,108.805981271309,3000,500,8
7,1,148,1703.0131919204,76.8555369020596,108.805981271309,3000,500,8
8,1,167,356.992673448325,992.223373333664,108.805981271309,3000,500,8
9,1,169,405.476753040899,2109.95004530461,108.805981271309,3000,500,8
10,1,179,1971.52421392433,646.693044191596,108.805981271309,3000,500,8
11,1,196,2602.02290431902,1986.57354087631,108.805981271309,3000,500,8
12,1,202,989.023340706725,553.373492785599,108.805981271309,3000,500,8
13,1,204,205.037877947309,1248.07597655294,108.805981271309,3000,500,8
14,1,222,1871.16193044056,2190.40925140076,108.805981271309,3000,500,8
15,1,232,1798.23963864451,1544.52435359036,108.805981271309,3000,500,8
16,1,234,1843.38154186593,3187.89594572552,108.805981271309,3000,500,8
17,1,241,2878.86576193446,1589.87861107822,108.805981271309,3000,500,8
18,1,243,372.786221646628,1139.83367681686,108.805981271309,3000,500,8
19,1,249,690.638566097564,2164.34244870125,108.805981271309,3000,500,8
20,1,265,2267.56748216991,2488.13899400035,108.805981271309,3000,500,8
21,1,324,1635.01181701912,2366.79484633644,108.805981271309,3000,500,8
22,1,325,3079.17541692177,1190.73560334944,108.805981271309,3000,500,8
23,1,336,847.248695918113,921.426508889539,108.805981271309,3000,500,8
24,1,373,827.362515093427,1621.66689901455,108.805981271309,3000,500,8
25,1,376,735.794773586255,1356.56970773758,108.805981271309,3000,500,8
26,1,379,314.567533812887,2069.30693777181,108.805981271309,3000,500,8
27,1,420,1446.17336956757,715.450169359591,108.805981271309,3000,500,8
28,1,431,1237.29030807269,1595.3988275379,108.805981271309,3000,500,8
29,1,432,1734.64049258281,2545.40039149408,108.805981271309,3000,500,8
30,1,444,3012.18939853272,3180.8034144792,108.805981271309,3000,500,8
31,1,450,1208.22666040387,2125.88483803188,108.805981271309,3000,500,8
32,1,467,51.5833486007278,2630.5653656271,108.805981271309,3000,500,8
33,1,471,1355.9027163671,1494.0695669983,108.805981271309,3000,500,8
34,1,474,2095.12733681789,93.1932222651927,108.805981271309,3000,500,8
35,1,493,1380.5433082056,1006.28614823549,108.805981271309,3000,500,8
36,1,495,282.59604124205,2323.64266666092,108.805981271309,3000,500,8
37,1,505,2454.45324859049,1264.70521439254,108.805981271309,3000,500,8
38,1,543,234.663580580402,2287.48524737599,108.805981271309,3000,500,8
39,1,569,716.38497314332,1685.10121134041,108.805981271309,3000,500,8
40,1,575,1539.74480190925,1794.32736818574,108.805981271309,3000,500,8
41,1,595,1571.59799074032,2524.29761221444,108.805981271309,3000,500,8
42,1,601,749.293320804113,1.7456067487192,108.805981271309,3000,500,8
43,1,603,19.5619535429756,359.971914329495,108.805981271309,3000,500,8
44,1,607,1432.58930012484,1249.58460587618,108.805981271309,3000,500,8
