Id,Frame,x (nm),y (nm),z (nm),sigmax_z0 (nm),sigmay_z0 (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,2607.115796,312.129296,-273.9095347,172.8790683,165.793476,2400,500,0.5
2,1,2898.534199,891.1943004,376.4742254,172.8790683,165.793476,2400,500,0.5
3,1,406.3578121,1750.020861,365.7335586,172.8790683,165.793476,2400,500,0.5
4,1,2922.80274,3064.021873,-11.69948102,172.8790683,165.793476,2400,500,0.5
5,1,2023.549588,3087.643313,240.2243751,172.8790683,165.793476,2400,500,0.5
6,2,1948.911129,1617.842247,41.37190369,172.8790683,165.793476,2400,500,0.5
7,2,1673.187553,2450.478089,16.82003778,172.8790683,165.793476,2400,500,0.5
8,2,2261.537057,1160.10222,-256.7803057,172.8790683,165.793476,2400,500,0.5
9,2,1130.227971,2960.056181,87.13860481,172.8790683,165.793476,2400,500,0.5
10,2,2428.462005,2883.517489,182.3681373,172.8790683,165.793476,2400,500,0.5
11,3,1381.359293,1418.390407,80.00770893,172.8790683,165.793476,2400,500,0.5
12,3,2092.619959,308.5487456,-330.6574465,172.8790683,165.793476,2400,500,0.5
13,3,2173.157783,1433.161137,-306.146301,172.8790683,165.793476,2400,500,0.5
14,3,3031.961318,2614.460379,393.1801199,172.8790683,165.793476,2400,500,0.5
15,3,1620.630292,1321.365427,123.103777,172.8790683,165.793476,2400,500,0.5
16,4,1667.787652,602.0320194,290.1925177,172.8790683,165.793476,2400,500,0.5
17,4,806.6376767,2781.487776,364.4454058,172.8790683,165.793476,2400,500,0.5
18,4,1125.712876,1136.049263,300.5159849,172.8790683,165.793476,2400,500,0.5
19,4,576.2580498,2324.632301,-77.14373364,172.8790683,165.793476,2400,500,0.5
20,4,2199.184352,2701.268567,-216.2226625,172.8790683,165.793476,2400,500,0.5
21,5,231.6537992,217.2999148,180.8362497,172.8790683,165.793476,2400,500,0.5
22,5,3015.842025,3000.375697,-350.3974806,172.8790683,165.793476,2400,500,0.5
23,5,2012.360278,2876.343882,-300.874055,172.8790683,165.793476,2400,500,0.5
24,5,1199.184447,1519.685968,-275.170223,172.8790683,165.793476,2400,500,0.5
25,5,2476.972276,277.8328073,-40.96038063,172.8790683,165.793476,2400,500,0.5
26,6,2534.251524,487.605548,-213.6493881,172.8790683,165.793476,2400,500,0.5
27,6,2679.47715,2191.01899,272.580717,172.8790683,165.793476,2400,500,0.5
28,6,2148.017841,2876.869159,-356.0623136,172.8790683,165.793476,2400,500,0.5
29,6,1734.532503,1442.124995,195.4963623,172.8790683,165.793476,2400,500,0.5
30,6,3172.667893,2856.463407,107.3058947,172.8790683,165.793476,2400,500,0.5
31,7,617.2255055,2122.605131,-240.9173852,172.8790683,165.793476,2400,500,0.5
32,7,3040.229898,322.9329876,259.2566675,172.8790683,165.793476,2400,500,0.5
33,7,941.0982826,502.0402676,174.7035138,172.8790683,165.793476,2400,500,0.5
34,7,2729.500403,1536.893409,-99.25902536,172.8790683,165.793476,2400,500,0.5
35,7,848.2700086,1741.623619,-177.8188501,172.8790683,165.793476,2400,500,0.5
36,8,964.0382323,729.1650565,-253.5706038,172.8790683,165.793476,2400,500,0.5
37,8,1098.559599,906.2873743,-45.18257407,172.8790683,165.793476,2400,500,0.5
38,8,2293.06771,1241.209651,379.1063962,172.8790683,165.793476,2400,500,0.5
39,8,2147.069682,1980.011104,-233.2072653,172.8790683,165.793476,2400,500,0.5
40,8,3008.596547,1343.818116,123.790249,172.8790683,165.793476,2400,500,0.5
41,9,1178.194505,2948.993414,-99.15604582,172.8790683,165.793476,2400,500,0.5
42,9,2810.701975,2171.15411,-195.1621783,172.8790683,165.793476,2400,500,0.5
