No,Frame,Emitter,x (nm),y (nm),z (nm),sigmax_z0 (nm),sigmay_z0 (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,12,1684.90387818951,2.48602651852536,340.117967811942,172.879068253624,165.793475964977,2400,500,0.5
2,1,18,121.658238399977,3009.86917528351,-159.987706269652,172.879068253624,165.793475964977,2400,500,0.5
3,1,19,2017.95877158797,1798.80408423819,230.205120055341,172.879068253624,165.793475964977,2400,500,0.5
4,1,23,2044.38923244068,2821.4409998914,-162.283451354589,172.879068253624,165.793475964977,2400,500,0.5
5,1,27,3007.51804484033,2419.73114396345,-18.6309156325382,172.879068253624,165.793475964977,2400,500,0.5
6,1,37,778.004728446222,75.1709010838383,-255.345664502512,172.879068253624,165.793475964977,2400,500,0.5
7,1,38,3081.63670573697,775.205952366991,311.857183328309,172.879068253624,165.793475964977,2400,500,0.5
8,1,41,767.507572359213,2143.18437191593,-255.951485453158,172.879068253624,165.793475964977,2400,500,0.5
9,1,43,1518.86969833461,3137.37672927277,81.1302912090656,172.879068253624,165.793475964977,2400,500,0.5
10,1,45,923.557447453324,34.3137903302672,-4.78169562967093,172.879068253624,165.793475964977,2400,500,0.5
11,1,46,2681.52378332084,1046.3003462247,-222.17295778512,172.879068253624,165.793475964977,2400,500,0.5
12,1,50,270.267446381942,1826.71611007946,-345.78213407851,172.879068253624,165.793475964977,2400,500,0.5
13,1,56,1287.46996008952,1623.11547040216,-266.471687149651,172.879068253624,165.793475964977,2400,500,0.5
14,1,58,54.7367037012545,1559.68884762416,-396.836072662786,172.879068253624,165.793475964977,2400,500,0.5
15,1,67,184.467100288195,105.586359535167,-187.026631104326,172.879068253624,165.793475964977,2400,500,0.5
16,1,78,1967.35861457018,1312.69417191556,349.969326746756,172.879068253624,165.793475964977,2400,500,0.5
17,1,81,688.284739356371,2209.38835966281,-298.583949011249,172.879068253624,165.793475964977,2400,500,0.5
18,1,85,1412.04146131739,2641.92364550838,120.433854292253,172.879068253624,165.793475964977,2400,500,0.5
19,1,116,71.635409782473,3079.24719750213,64.3528446891922,172.879068253624,165.793475964977,2400,500,0.5
20,1,131,1306.16700804737,2246.66573297855,-159.563511125818,172.879068253624,165.793475964977,2400,500,0.5
21,1,154,2516.367381429,638.96982467684,-70.3312720314192,172.879068253624,165.793475964977,2400,500,0.5
22,1,164,1353.13464952783,2479.44618850252,30.3287984378953,172.879068253624,165.793475964977,2400,500,0.5
23,1,191,2810.33300609925,1163.81455806649,-185.929887982578,172.879068253624,165.793475964977,2400,500,0.5
24,1,204,959.055574452031,2416.37609714201,272.452836011279,172.879068253624,165.793475964977,2400,500,0.5
25,1,207,1804.66576156237,1700.71844756462,-91.9223326422212,172.879068253624,165.793475964977,2400,500,0.5
26,1,212,1042.36714122329,988.890085313056,-374.03610462677,172.879068253624,165.793475964977,2400,500,0.5
27,1,217,3086.44450345603,776.83816207815,320.567279725873,172.879068253624,165.793475964977,2400,500,0.5
28,1,230,80.9131818624646,1194.83271748053,-380.053448195529,172.879068253624,165.793475964977,2400,500,0.5
29,1,233,1572.01727435877,1055.22555312994,26.0520119093601,172.879068253624,165.793475964977,2400,500,0.5
30,1,248,164.329961568362,2050.40160535911,15.7931973218152,172.879068253624,165.793475964977,2400,500,0.5
31,1,254,2170.20729802818,1854.47172112107,-332.391810641148,172.879068253624,165.793475964977,2400,500,0.5
32,1,258,2222.5424021889,3045.18003947895,-380.480621707069,172.879068253624,165.793475964977,2400,500,0.5
33,1,274,1102.67182592512,1423.88051360023,384.359175926865,172.879068253624,165.793475964977,2400,500,0.5
34,1,276,1300.79988728198,994.312162890644,-334.160473000922,172.879068253624,165.793475964977,2400,500,0.5
35,1,283,1168.04238064915,572.816624633011,218.152021424351,172.879068253624,165.793475964977,2400,500,0.5
36,1,313,2057.30486570367,2621.65662133645,-53.3257737198607,172.879068253624,165.793475964977,2400,500,0.5
37,1,343,3064.49163111734,164.537817921027,187.568615109639,172.879068253624,165.793475964977,2400,500,0.5
38,1,355,29.6660511246841,1013.46410475113,-2.44506865708007,172.879068253624,165.793475964977,2400,500,0.5
39,1,365,934.241862448948,3048.68866202658,-324.393934671132,172.879068253624,165.793475964977,2400,500,0.5
40,1,385,1831.16898963552,3034.37433580231,324.494284427449,172.879068253624,165.793475964977,2400,500,0.5
41,1,393,1189.40213981844,2266.46600523525,-353.328848964043,172.879068253624,165.793475964977,2400,500,0.5
42,1,398,900.182842532426,3000.49344576996,-72.8835759031697,172.879068253624,165.793475964977,2400,500,0.5
43,1,413,2727.22487683072,2774.53638828246,212.90737045985,172.879068253624,165.793475964977,2400,500,0.5
44,1,428,2095.42267721463,471.590288252663,196.129719969845,172.879068253624,165.793475964977,2400,500,0.5
