No,Frame,Emitter,x (nm),y (nm),z (nm),sigmax_z0 (nm),sigmay_z0 (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,47,1774.82747067569,657.071057302066,262.190773525991,172.879068253624,165.793475964977,2400,500,0.5
2,1,53,2956.41035235448,3009.32340990299,282.324295024847,172.879068253624,165.793475964977,2400,500,0.5
3,1,61,78.913591004088,2092.84824675526,-254.190151402642,172.879068253624,165.793475964977,2400,500,0.5
4,1,62,58.1681196616785,2627.65030669848,77.468086047065,172.879068253624,165.793475964977,2400,500,0.5
5,1,71,456.029925499853,399.317826245353,-128.282345284327,172.879068253624,165.793475964977,2400,500,0.5
6,1,91,1861.89981578753,142.360311999309,201.122864840448,172.879068253624,165.793475964977,2400,500,0.5
7,1,103,2127.41754115643,858.164823826527,258.040589561952,172.879068253624,165.793475964977,2400,500,0.5
8,1,125,1511.03599735235,213.871616958776,329.272154094359,172.879068253624,165.793475964977,2400,500,0.5
9,1,126,622.310677166745,3122.6821427134,-187.140299837077,172.879068253624,165.793475964977,2400,500,0.5
10,1,136,797.460068319985,2539.58206920171,225.763211366031,172.879068253624,165.793475964977,2400,500,0.5
11,1,145,801.764424418052,910.211224407847,-28.3644075115458,172.879068253624,165.793475964977,2400,500,0.5
12,1,177,41.7984730138883,2591.40032163963,-208.644339811681,172.879068253624,165.793475964977,2400,500,0.5
13,1,195,2937.33329552239,469.830513630925,233.980775382141,172.879068253624,165.793475964977,2400,500,0.5
14,1,201,579.144913108917,2558.17151531916,384.401750999239,172.879068253624,165.793475964977,2400,500,0.5
15,1,218,698.126484281567,2704.65357310463,-181.297866202264,172.879068253624,165.793475964977,2400,500,0.5
16,1,241,2801.73205077793,2560.00558613209,7.78032727007718,172.879068253624,165.793475964977,2400,500,0.5
17,1,258,606.562548189843,305.176018053394,-222.332063111018,172.879068253624,165.793475964977,2400,500,0.5
18,1,267,386.050488175829,667.054857164267,115.876161391552,172.879068253624,165.793475964977,2400,500,0.5
19,1,277,702.74351779342,2328.55105582116,383.608413313567,172.879068253624,165.793475964977,2400,500,0.5
20,1,375,2762.23207950786,5.89279328911374,-256.741448982529,172.879068253624,165.793475964977,2400,500,0.5
21,1,394,3014.48769822181,2939.79964938486,-328.269060081739,172.879068253624,165.793475964977,2400,500,0.5
22,1,395,2170.75528683483,735.27194365938,-243.332784881892,172.879068253624,165.793475964977,2400,500,0.5
23,1,409,958.860450781096,2255.03843376655,205.689011748468,172.879068253624,165.793475964977,2400,500,0.5
24,1,475,1565.80183886054,246.999541496822,293.849997164038,172.879068253624,165.793475964977,2400,500,0.5
25,2,62,58.1681196616785,2627.65030669848,77.468086047065,172.879068253624,165.793475964977,2400,500,0.5
26,2,91,1861.89981578753,142.360311999309,201.122864840448,172.879068253624,165.793475964977,2400,500,0.5
27,2,103,2127.41754115643,858.164823826527,258.040589561952,172.879068253624,165.793475964977,2400,500,0.5
28,2,111,819.440599700577,1872.45573295923,-216.803565610069,172.879068253624,165.793475964977,2400,500,0.5
29,2,125,1511.03599735235,213.871616958776,329.272154094359,172.879068253624,165.793475964977,2400,500,0.5
30,2,145,801.764424418052,910.211224407847,-28.3644075115458,172.879068253624,165.793475964977,2400,500,0.5
31,2,195,2937.33329552239,469.830513630925,233.980775382141,172.879068253624,165.793475964977,2400,500,0.5
32,2,201,579.144913108917,2558.17151531916,384.401750999239,172.879068253624,165.793475964977,2400,500,0.5
33,2,222,1155.91730670824,2728.13991120069,-211.277360514932,172.879068253624,165.793475964977,2400,500,0.5
34,2,241,2801.73205077793,2560.00558613209,7.78032727007718,172.879068253624,165.793475964977,2400,500,0.5
35,2,267,386.050488175829,667.054857164267,115.876161391552,172.879068253624,165.793475964977,2400,500,0.5
36,2,277,702.74351779342,2328.55105582116,383.608413313567,172.879068253624,165.793475964977,2400,500,0.5
37,2,359,2172.45652336638,514.948684019636,388.916491330512,172.879068253624,165.793475964977,2400,500,0.5
38,2,375,2762.23207950786,5.89279328911374,-256.741448982529,172.879068253624,165.793475964977,2400,500,0.5
39,2,387,2643.37667654591,2146.42695706022,-102.80240843208,172.879068253624,165.793475964977,2400,500,0.5
40,2,392,1598.47395564975,547.825791961824,357.958490266708,172.879068253624,165.793475964977,2400,500,0.5
41,2,395,2170.75528683483,735.27194365938,-243.332784881892,172.879068253624,165.793475964977,2400,500,0.5
42,2,409,958.860450781096,2255.03843376655,205.689011748468,172.879068253624,165.793475964977,2400,500,0.5
43,2,434,2971.05140830888,1629.29329281483,300.888038221918,172.879068253624,165.793475964977,2400,500,0.5
44,2,475,1565.80183886054,246.999541496822,293.849997164038,172.879068253624,165.793475964977,2400,500,0.5
45,3,5,804.595407213423,58.6028216296967,-76.7076868513609,172.879068253624,165.793475964977,2400,500,0.5
46,3,9,2790.27634216139,1678.09472345241,-281.368433784791,172.879068253624,165.793475964977,2400,500,0.5
47,3,62,58.1681196616785,2627.65030669848,77.468086047065,172.879068253624,165.793475964977,2400,500,0.5
48,3,91,1861.89981578753,142.360311999309,201.122864840448,172.879068253624,165.793475964977,2400,500,0.5
49,3,125,1511.03599735235,213.871616958776,329.272154094359,172.879068253624,165.793475964977,2400,500,0.5
50,3,145,801.764424418052,910.211224407847,-28.3644075115458,172.879068253624,165.793475964977,2400,500,0.5
51,3,190,2485.52862595564,2970.72626924996,-29.0165754800641,172.879068253624,165.793475964977,2400,500,0.5
52,3,195,2937.33329552239,469.830513630925,233.980775382141,172.879068253624,165.793475964977,2400,500,0.5
53,3,201,579.144913108917,2558.17151531916,384.401750999239,172.879068253624,165.793475964977,2400,500,0.5
54,3,241,2801.73205077793,2560.00558613209,7.78032727007718,172.879068253624,165.793475964977,2400,500,0.5
55,3,255,3027.38009980801,1918.65611175566,-335.096238475184,172.879068253624,165.793475964977,2400,500,0.5
56,3,277,702.74351779342,2328.55105582116,383.608413313567,172.879068253624,165.793475964977,2400,500,0.5
57,3,302,656.305027120929,173.811746601781,-172.39639328718,172.879068253624,165.793475964977,2400,500,0.5
58,3,340,1227.33467816219,665.898363416628,274.962089377506,172.879068253624,165.793475964977,2400,500,0.5
59,3,359,2172.45652336638,514.948684019636,388.916491330512,172.879068253624,165.793475964977,2400,500,0.5
60,3,385,2902.69033154889,2560.71936312613,-99.1905513198669,172.879068253624,165.793475964977,2400,500,0.5
61,3,387,2643.37667654591,2146.42695706022,-102.80240843208,172.879068253624,165.793475964977,2400,500,0.5
62,3,395,2170.75528683483,735.27194365938,-243.332784881892,172.879068253624,165.793475964977,2400,500,0.5
63,3,409,958.860450781096,2255.03843376655,205.689011748468,172.879068253624,165.793475964977,2400,500,0.5
64,3,475,1565.80183886054,246.999541496822,293.849997164038,172.879068253624,165.793475964977,2400,500,0.5
65,4,62,58.1681196616785,2627.65030669848,77.468086047065,172.879068253624,165.793475964977,2400,500,0.5
66,4,147,1171.00654471083,2620.59988189534,137.794683382017,172.879068253624,165.793475964977,2400,500,0.5
67,4,190,2485.52862595564,2970.72626924996,-29.0165754800641,172.879068253624,165.793475964977,2400,500,0.5
68,4,195,2937.33329552239,469.830513630925,233.980775382141,172.879068253624,165.793475964977,2400,500,0.5
69,4,227,2955.72601812144,3188.2649602474,-387.654874097613,172.879068253624,165.793475964977,2400,500,0.5
70,4,255,3027.38009980801,1918.65611175566,-335.096238475184,172.879068253624,165.793475964977,2400,500,0.5
71,4,340,1227.33467816219,665.898363416628,274.962089377506,172.879068253624,165.793475964977,2400,500,0.5
72,4,359,2172.45652336638,514.948684019636,388.916491330512,172.879068253624,165.793475964977,2400,500,0.5
73,4,365,541.195842637199,62.0513572214474,-68.0818548191667,172.879068253624,165.793475964977,2400,500,0.5
74,4,385,2902.69033154889,2560.71936312613,-99.1905513198669,172.879068253624,165.793475964977,2400,500,0.5
75,4,395,2170.75528683483,735.27194365938,-243.332784881892,172.879068253624,165.793475964977,2400,500,0.5
76,4,409,958.860450781096,2255.03843376655,205.689011748468,172.879068253624,165.793475964977,2400,500,0.5
77,4,447,929.885711316438,3119.20886414576,-277.96225585972,172.879068253624,165.793475964977,2400,500,0.5
78,4,475,1565.80183886054,246.999541496822,293.849997164038,172.879068253624,165.793475964977,2400,500,0.5
79,5,26,2251.52927586966,918.287744626067,-0.453507182450096,172.879068253624,165.793475964977,2400,500,0.5
80,5,50,1418.99109780504,816.398224273077,-147.75829970605,172.879068253624,165.793475964977,2400,500,0.5
81,5,51,1549.21162687535,1081.61640989592,123.989002731846,172.879068253624,165.793475964977,2400,500,0.5
82,5,62,58.1681196616785,2627.65030669848,77.468086047065,172.879068253624,165.793475964977,2400,500,0.5
83,5,147,1171.00654471083,2620.59988189534,137.794683382017,172.879068253624,165.793475964977,2400,500,0.5
84,5,172,1324.63056997591,2535.52342168253,54.1640760325432,172.879068253624,165.793475964977,2400,500,0.5
85,5,190,2485.52862595564,2970.72626924996,-29.0165754800641,172.879068253624,165.793475964977,2400,500,0.5
86,5,207,1499.3530040243,64.0468701118404,154.114531266677,172.879068253624,165.793475964977,2400,500,0.5
87,5,227,2955.72601812144,3188.2649602474,-387.654874097613,172.879068253624,165.793475964977,2400,500,0.5
88,5,255,3027.38009980801,1918.65611175566,-335.096238475184,172.879068253624,165.793475964977,2400,500,0.5
89,5,359,2172.45652336638,514.948684019636,388.916491330512,172.879068253624,165.793475964977,2400,500,0.5
90,5,367,1936.26233247831,998.807892141808,-99.738758143877,172.879068253624,165.793475964977,2400,500,0.5
91,5,395,2170.75528683483,735.27194365938,-243.332784881892,172.879068253624,165.793475964977,2400,500,0.5
92,5,409,958.860450781096,2255.03843376655,205.689011748468,172.879068253624,165.793475964977,2400,500,0.5
93,5,412,2180.09159883893,2948.12261041765,-330.93093670174,172.879068253624,165.793475964977,2400,500,0.5
94,5,447,929.885711316438,3119.20886414576,-277.96225585972,172.879068253624,165.793475964977,2400,500,0.5
95,5,475,1565.80183886054,246.999541496822,293.849997164038,172.879068253624,165.793475964977,2400,500,0.5
